,CourseNum,CourseName,Credits,Description,Topics
0,ECE101,Exploring Digital Info Technol,b'3',"
Principles and processes for the development of information technologies: digital music, digital images, digital logic, data compression, error correction, information security, and communication networks. Laboratory for design of hardware and software, and experiments in audio and image processing. Intended for students outside the College of Engineering. Credit is not given to Computer or Electrical Engineering majors.This course satisfies the General Education Criteria for:Nat Sci & Tech - Phys SciencesQuantitative Reasoning II"," digital audio devices play music,
 digital images and videos are produced, stored, and enhanced,
 computers process information,
 information is transmitted efficiently over communication networks,
principles that underlie the operation of CD players, PDAs, cell phones, and the Internet"
1,ECE110,Introduction to Electronics,b'1 to 3',"
Introduction to selected fundamental concepts and principles in electrical engineering. Emphasis on measurement, modeling, and analysis of circuits and electronics while introducing numerous applications. Includes sub-discipline topics of electrical and computer engineering, for example, electromagnetics, control, signal processing, microelectronics, communications, and scientific computing basics. Lab work incorporates sensors and motors into an autonomous moving vehicle, designed and constructed to perform tasks jointly determined by the instructors and students.
","Introduction to Electrical Engineering DC circuits Electronics: Diodes, Transistors Sensors, feedback and control Digital logic through CMOS circuitry Pulse width modulation Charge, current, voltage, power, and energy Energy storage and dissipation, Ohm's Law, circuit modeling, and schematics Ethics and professional responsibilities Kirchhoff's voltage law and Kirchhoff's current law Series and parallel connections, divider rules, DC circuit analysis Power supplied and absorbed, time-average power, root-mean-square voltage IV characteristics, Thevenin and Norton equivalent circuits, effective resistance Nodal analysis Diodes and diode circuits Bipolar Junction Transistor, BJT IV characteristics and modeling, regions of operation, circuit analysis and operating point, current and voltage amplification Field Effect Transistor, MOSFET IV characteristics and modeling, regions of operation, circuit analysis and operating point, digital logic basics through CMOS and truth tables, FET power consumption Sensors, feedback and control Pulse-width modulation Signals, spectra, noise, signal-to-noise ratio Sampling and quantization, Shannon-Nyquist sampling rate, binary numbers, quantization error Information definition, entropy calculation, compression definitions and examples Photodiodes and solar cells Communication techniques Encryption Operational amplifiers RC filters Voltage-controlled pulse-width modulation"
2,ECE120,Introduction to Computing,b'4',"
Introduction to digital logic, computer systems, and computer languages. Topics include representation of information, combinational and sequential logic analysis and design, finite state machines, the von Neumann model, basic computer organization, and machine language programming. Laboratory assignments provide hands-on experience with design, simulation, implementation, and programming of digital systems. Prerequisite: Restricted to Computer Engineering or Electrical Engineering majors or transfer students with ECE Department consent.
","Representation of information Boolean algebra Combinational network analysis and design Sequential network analysis and design Computer organization and machine-level programming Programming in C Abstraction, bits, unsigned representation, signed integers, 2’s complement representation, fixed- and floating-point representation, hexadecimal notation, ASCII representation, unsigned binary addition, modular arithmetic, carry out, overflow Introduction to digital logic, CMOS, logic gates, truth tables, Boolean logic operations, Karnaugh maps, sum-of-product, product-of-sums, logical completeness, Boolean properties, two-level design, Pareto optimization, don’t care simplification Introduction to UNIX, introduction to C programming (operators, functions, statements), flow chart, sequential construct, conditional construct, iterative construct, program execution, program analysis, program testing Bit-sliced design, ripple-carry adder, bit-sliced comparator, 2’s complement comparator, building with abstraction, multiplexers, decoders Clock abstraction, latches, flip-flops, shift registers, registers with parallel load, serialization Finite state machines (FSM), binary counters, FSM models, clock synchronous design, modular FSM design (keyless car entry, vending machine) Concept of memory, address space, addressability, building larger memory using smaller memory, coincident selection, tri-state buffer The von Neumann model, LC-3 as von Neumann, instruction processing, instruction set architecture, control unit design, assemblers and assembly code Error detection and correction, odd/even parity bit, Hamming distance, Hamming code understand the role and importance of abstraction in computing systems ( ) recognize and be able to make use of standard digital components in designing simple combinational logic ( ,  ) be able to design and implement a simple finite state machine (FSM) as a clock-synchronous sequential circuit using digital logic ( ,  ) be able to design and implement a simple FSM using assembly language ( ,  ) understand the principles of computer organization and understand how computers execute instructions ( ,  ,  ), be able to write simple programs in both C and assembly language ( ,  ,  ) develop the skills required to solve engineering problems ( ) understand the expectations of the engineering discipline in terms of effort, quality, and objectivity ( ,  ,  ) recognize that self-motivation and lifelong learning are necessary to success in engineering ( ,  ) be able to articulate the importance of understanding tradeoffs and be able to recognize and identify basic design tradeoffs ( )"
3,ECE198,Special Topics,b'1 to 4',"
Lectures and discussions relating to new areas of interest. May be repeated in the same or separate terms for unlimited hours if topics vary. See class schedule for topics and prerequisites.
",
4,ECE199,Undergraduate Open Seminar,b'1 to 5',"
Approved for both letter and S/U grading. May be repeated.
",
5,ECE200,Seminar,b'0',"
Discussions of educational programs, career opportunities, and other topics in electrical and computer engineering. Approved for Letter and S/U grading. May be repeated. For Computer Engineering and Electrical Engineering majors only.
",
6,ECE205,Electrical and Electronic Circuits,b'3',"
ECE_205 is an introductory course on circuit analysis and electronics for non-majors in engineering. The course includes bi-weekly electronics lab experiments designed to provide students with hands-on experience. Basic principles of circuit analysis and DC circuits; time-domain analysis of 1st and 2nd order linear circuits; complex numbers, phasors, AC steady-state analysis; frequency response; op-amp, diode, and BJT circuits; logic gates and digital logic circuits. Credit is not given to Computer or Electrical Engineering majors. Credit is not given to Computer or Electrical Engineering majors. Prerequisite: PHYS_212.
","Introduction: Charge, current, voltage, power, circuit elements, Ohm's law Kirchhoff's current and voltage laws, voltage and current divisions Node-voltage, mesh-current methods, superposition, and equivalence theorems RC and RL circuits, first-order and second-order network, step response, transient and steady state response for sinusoidal inputs Sinusoidal excitation and phasors AC steady-state analysis and AC steady-state power Frequency response, passive filters Diodes, diode circuit analysis BJT circuit analysis BJT logic circuits Propagation delay, rise and fall time, and noise margin Op-amps and applications Introduction: Charge, current, voltage, power, circuit elements, Ohm's law Kirchhoff's current and voltage laws, voltage and current divisions Node-voltage, mesh-current methods, superposition, and equivalence theorems RC and RL circuits, time domain analysis, step response, response to sinusoidal inputs RLC circuits, time domain analysis, step response, response to sinusoidal inputs Sinusoidal excitation and phasors AC steady-state analysis and AC steady-state power Frequency response, passive filters Op-Amp - inverting and non-inverting Active Filter Op-Amp- Integrator, Current Source Comparator P-N Junction Diodes Introduction to BJTs Binary Logic and Logic Gates Logic Gates Using BJTs Physics in electricity and magnetism Differential and integral calculus Linear, ordinary differential equations Calculate the currents and voltages in resistive circuits using Ohm’s law, KCL, KVL, reduction of series and parallel resistances, and voltage and current divisions ( ) Find the node voltages in resistive circuits containing current sources and voltage sources using nodal analysis ( ) Find the mesh currents and branch currents in resistive circuits containing voltage sources and current sources using mesh analysis ( ) Analyze resistive circuits containing multiple sources by using superposition ( ) Apply Thevenin’s and Norton’s theorems to simplify a resistive circuit by finding the Thevenin or Norton equivalent of a two-terminal network ( ) Calculate the currents and voltages in a circuit containing diodes using the simple constant-voltage model for the diode(s) ( ) Determine the modes of operation of the BJTs and the on/off condition of the diodes, and calculate the voltages and currents in various simple BJT/diode circuits for given input voltages ( ) Determine the modes of operation of the BJT and calculate the voltages and currents in a BJT dc circuit, and find the power dissipated by the BJT ( ) Draw truth tables for basic logic operations, apply boolean algebra principles, and implement gate level logic circuits ( ) Determine the initial conditions of circuits containing capacitors and inductors using capacitor rules and inductor rules ( ) Calculate the currents and voltages of a first-order network containing a switch, and find the step response of a first-order network containing a step source ( ) Calculate the currents and voltages of a first-order network containing a switch, and find the transient of a first-order network containing to a sinusoidal forcing function. ( ) Calculate the currents and voltages of a second-order network containing a switch, and find the transient response of a second-order network containing a step function. ( ) Manipulate complex numbers and understand their meaning ( ) Find the phasor voltage (current) for a given sinusoidal voltage (current), and find the sinusoidal voltage (current) for given phasor voltage (current) and frequency ( ) Find the impedances of resistors, capacitors, and inductors for a given frequency () Analyze a phasor circuit using Ohm’s law, KCL, KVL, reduction of series and parallel impedances, and voltage and current divisions ( ) Calculate the phasor voltages and currents in a phasor circuit by applying nodal analysis ( ) Find the phasor voltages and currents in a phasor circuit containing multiple sources using superposition ( ) Analyze magnetic circuits and circuits containing transformers. ( ) Derive and sketch the frequency response of a linear circuit or system. ( ) Analyze circuits containing Op-amps (ideal)– Differentiators, Integrators, active filters.( ) Measure the voltage of a battery under no-load and loaded conditions using multimeter and basic breadboard circuit ( , , , ) Use measurements to estimate internal resistance of battery ( , , , ) Relate internal resistance of battery to change level of battery ( , , , ) Build and document a light measuring circuit using a photoresistor ( , , , ) Build and document a similar circuit using a photodiode and a transistor ( , , , ) Measure the response of both circuits on the oscilloscope ( , , , ) Explain the similarities and differences between each circuit ( , , , ) Build and document an astable-multivibrator circuit using a 555, capacitors, and resistors ( , , , ) Measure the response of the circuit using the oscilloscope ( , , , ) Predict and measure the response of the circuit to changes in the resistors ( , , , ) Predict, build, and measure (using the function generator and oscilloscope) the magnitude response of a R-C high pass filter ( , , , ) Predict, build, and measure (using the function generator and oscilloscope) the magnitude response of a R-C low pass filter ( , , , ) Predict and measure the effect of loading on each filter ( , , , ) Build and document an op-amp amplifier ( , , , ) Use oscilloscope to measure amplified audio-range signal from the function generator ( , , , ) Hear, measure (on oscilloscope), and explain the effect of clipping due to excessive gain or too-low supply voltage ( , , , ) Predict, wind, and measure the inductance of inductor using LCR bridge ( , , , ) Build and document a boost converter circuit to light blue LED from 1.5 V battery using transistors, capacitors, inductors, and resistors ( , , , ) Use oscilloscope to measure switching waveform and see effect of increasing or reducing the inductance ( , , , )"
7,ECE206,Electrical and Electronic Circuits Lab,b'1',"
Laboratory experiments in digital logic and controllers; transistor amplifier and switching circuits; DC motor control and voltage regulators; sensors and motion control with feedback; wireless communication. Credit is not given to Computer or Electrical Engineering majors. Prerequisite: ECE_205.
","Laboratory Introduction Network Solving and Equivalent Circuits Transient Response Rectifier and Power Supply Circuits MOSFET Inverter Circuits CMOS Logic Circuits CMOS Transient Analysis BJT Circuits Transient-Transistor Logic Operational Amplifiers Nonlinear Op Amp Circuits Frequency Response Laboratory Introduction BJT review and logic gates Arduino (or similar microcontroller platform) introduction and programming MOSFET device operation and characteristics MOSFET based logic and switching PWM operation H-bridge design and construction H-bridge control of DC motor (open loop) H-bridge control of DC motor (closed loop) Basic circuit analysis (KVL, KCL) Understanding of AC and DC behavior of passive devices (resistor, capacitor, inductor) Basic understanding of diodes and BJTs Obtain BJT operating characteristics and IV curves. ( ,  ) Identify BJT operating regions. ( ,  ) Implementing logic gates using BJTs ( ,  ,  ,  ) Analyze problems with BJT logic gates. ( ,  ) Use (Arduino+programming) and bench instruments as logic input/output sources and power supply. ( ,  ,  ,  ,  ,  ) Obtain and investigate MOS I-V characteristics and obtain key MOS parameters from the IV characteristics. ( ,  ) Analyze and Build CMOS inverter circuits to verify the logic function, and measure the propagation delay, noise margin, and power dissipation using an oscilloscope, function generator, and power supply. ( ,  ,  ,  ) Analyze and build CMOS gates and characterize the performance in terms of propagation delay, noise margins, and static and dynamic power. ( ,  ) Analyze and design logic circuits to realize any arbitrary logic function. ( ,  ,  ,  ) Analyze and design a H-Bridge circuit using BJTs ( ,  ,  ,  ,  ,  ) Design logic circuit to interface with H-bridge ( ,  ,  ,  ,  ,  ) Use H-Bridge and logic circuits to obtain PWM and direction signals. ( ,  ,  ,  ,  ,  ) Use H-Bridge circuit to drive a load ( ,  ,  ,  ,  ) Use Arduino to measure motor speed ( ,  ) Use PWM signals to control motor speed in open loop configuration ( ,  ,  ,  ,  ) Use PWM signals to control motor speed in closed loop configuration ( ,  ,  ,  ,  ,  )"
8,ECE210,Analog Signal Processing,b'4',"
Analog signal processing, with an emphasis on underlying concepts from circuit and system analysis: linear systems; review of elementary circuit analysis; differential equation models of linear circuits and systems; Laplace transform; convolution; stability; phasors; frequency response; Fourier series; Fourier transform; active filters; AM radio. Credit is not given for both ECE_210 and ECE_211. Prerequisite: ECE_110 and PHYS_212; credit or concurrent registration in MATH_285 or MATH_286.
","Examples of signals and signal processing systems Analog linear time-invariant systems Circuits and linear systems Review of DC circuit analysis: KCL, KVL, dependent sources Capacitors and inductors as circuit elements Op-amp circuits Characterization and solution of LSI systems via linear, constant-coefficient differential equations Complex numbers and functions of a complex variable Impedance, phasors, and sinusoidal steady-state Frequency response and multi-frequency circuits Fourier Series Fourier transform AM radio Convolution Impulse and impulse response Sampling theorem and overview of digital signal processing Stability Laplace transform and transfer function Laplace transform solution of differential equations General form of solution to a differential equation Design of active filters Signals and signal processing in analog linear time-invariant (LTI) circuits and systems Review of DC circuit analysis: KCL, KVL, dependent sources Capacitors and inductors as circuit elements, op amps Characterization and solution of LTI systems via linear, constant-coefficient differential equations Complex numbers and functions of a complex variable, impedance, phasors, and sinusoidal steady-state Frequency response and multi-frequency circuits, Fourier series and transforms, AM radio Convolution, impulse and impulse response, sampling theorem and system stability Laplace transform and transfer function, Laplace transform solution of differential equations General form of solution to a differential equation, design of active filters Calculus Concurrent registration in differential equations Physics-bases treatment of electricity and magnetism Introductory exposure to circuit analysis Calculate node voltages and branch currents in linear circuits containing resistors, independent and dependent sources, and operational amplifiers. ( ) Design simple op amp circuits. ( ) Sketch voltage and current waveforms (given one, sketch the other) for capacitors and inductors. ( ) Design simple op amp integrators and differentiators. ( ) Solve first- and second-order differential equations with constant inputs. ( ) Manipulate complex numbers and demonstrate an understanding of their meaning. ( ) Understand phasor representation of co-sinusoidal signals and use the method for solving linear differential equations with co-sinusoid inputs. ( ) Apply the phasor concept to solve circuits for the sinusoidal steady-state response. ( ) Understand the distinction between instantaneous and average power and use the concept of maximum power transfer. ( ,  ) Derive and sketch the frequency response of a linear circuit or system. ( ) Calculate the response of dissipative linear systems to multi-frequency inputs ( ) Calculate the Fourier series of a periodic signal. ( ) Apply the Fourier series concept to calculate the output of a system due to a periodic input. ( ) Calculate the Fourier transform of finite-energy aperiodic signals and understand the concepts of signal energy and bandwidth. ( ) Explain and analyze the concepts of AM coherent demodulation, noncoherent demodulation, envelope detection, and a complete AM superheterodyne receiver (built in the lab). ( ,  ) Calculate and visualize convolution and apply the concept of impulse. ( ) Explain the sampling theorem and select a sampling rate according to the Nyquist criterion. ( ,  ) Determine whether a system is linear or nonlinear, causal or noncausal, time-invariant or time-varying, and decompose system outputs into zero-input and zero-state components. ( ) Determine whether a circuit or system is stable or unstable and demonstrate an understanding of the definition of stability. ( ) Calculate the one-sided Laplace transform and its inverse. ( ) Apply the concept of impedance to find the transfer function of a circuit. ( ) Compute transfer functions from block diagrams. ( ) Explain the relationship between pole and zero locations of a circuit and its corresponding frequency response. ( ) Design a Butterworth filter having a desired cutoff frequency. ( ,  ) Map a designed transfer function to a circuit composed of second-order op-amp building blocks. ( ,  )"
9,ECE211,Analog Circuits & Systems,b'2',"
Concepts from circuit and system analysis: linear systems; review of elementary circuit analysis; op amps; transient analysis; differential equation models of linear circuits and systems; Laplace transform. Credit is not given for both ECE_211 and ECE_210. Prerequisite: ECE_110 and PHYS_212; credit or concurrent registration in MATH_285 or MATH_286.
","Examples of signals and signal processing systems Analog linear time-invariant systems Circuits and linear systems Review of DC circuit analysis: KCL, KVL, dependent sources Capacitors and inductors as circuit elements Op-amp circuits Characterization and solution of LSI systems via linear, constant-coefficient differential equations Complex numbers and functions of a complex variable Impedance, phasors, and sinusoidal steady-state Frequency response and multi-frequency circuits Fourier Series Examples of signals and signal processing systems Analog linear time-invariant systems Circuits and linear systems Review of DC circuit analysis: KCL, KVL, dependent sources Capacitors and inductors as circuit elements Op-amp circuits Characterization and solution of LSI systems via linear, constant-coefficient differential equations Complex numbers and functions of a complex variable Impedance, phasors, and sinusoidal steady-state Frequency response and multi-frequency circuits Fourier Series Calculus Concurrent registration in differential equations Physics-based treatment of electricity and magnetism Introductory exposure to circuit analysis Calculate node voltages and branch currents in linear circuits containing resistors, independent and dependent sources, and operational amplifiers. ( ) Design simple op amp circuits. ( ) Sketch voltage and current waveforms (given one, sketch the other) for capacitors and inductors. ( ) Design simple op amp integrators and differentiators. ( ) Solve first- and second-order differential equations with constant inputs. ( ) Manipulate complex numbers and demonstrate an understanding of their meaning. ( ) Understand phasor representation of co-sinusoidal signals and use the method for solving linear differential equations with co-sinusoid inputs. ( ) Apply the phasor concept to solve circuits for the sinusoidal steady-state response. ( ) Understand the distinction between instantaneous and average power and use the concept of maximum power transfer. ( ,  ) Derive and sketch the frequency response of a linear circuit or system. ( ) Calculate the response of dissipative linear systems to multi-frequency inputs ( ) Calculate the Fourier series of a periodic signal. ( ) Apply the Fourier series concept to calculate the output of a system due to a periodic input. ( )"
