id,ResearchArea,ResearchKeyword
1,"Biomedical imaging, bioengineering, and acoustics",ultrasound
2,"Biomedical imaging, bioengineering, and acoustics",magnetic resonance imaging 
3,"Biomedical imaging, bioengineering, and acoustics",MRI
4,"Biomedical imaging, bioengineering, and acoustics",optical imaging
5,"Biomedical imaging, bioengineering, and acoustics",biomedical
6,"Biomedical imaging, bioengineering, and acoustics",imaging
7,"Biomedical imaging, bioengineering, and acoustics",bioengineering
8,"Biomedical imaging, bioengineering, and acoustics",acoustics
9,"Biomedical imaging, bioengineering, and acoustics",optical coherence tomography
10,"Biomedical imaging, bioengineering, and acoustics",speech and hearing
11,"Biomedical imaging, bioengineering, and acoustics",ultrasonic imaging
12,"Biomedical imaging, bioengineering, and acoustics",imaging techniques
13,"Biomedical imaging, bioengineering, and acoustics",hearing aids
14,"Biomedical imaging, bioengineering, and acoustics",biosensors
15,"Biomedical imaging, bioengineering, and acoustics",bioelectronics 
16,"Biomedical imaging, bioengineering, and acoustics",synthetic biology 
17,Circuits and signal processing,circuits
18,Circuits and signal processing,signal processing
19,Circuits and signal processing,adaptive signal processing
20,Circuits and signal processing,analog integrated circuits 
21,Circuits and signal processing,audio processing
22,Circuits and signal processing,music processing
23,Circuits and signal processing,speech processing
24,Circuits and signal processing,auditory processing
25,Circuits and signal processing,computed imaging systems 
26,Circuits and signal processing,integrated circuits
27,Circuits and signal processing,computer aided design
28,Circuits and signal processing,device modeling 
29,Circuits and signal processing,digital integrated circuits 
30,Circuits and signal processing,image processing
31,Circuits and signal processing,video processing
32,Circuits and signal processing,multimedia processing
33,Circuits and signal processing,compression
34,Circuits and signal processing,integrated circuit reliability
35,Circuits and signal processing,machine learning
36,Circuits and signal processing,pattern recognition
37,Circuits and signal processing,VLSI
38,Circuits and signal processing,DSP
39,Circuits and signal processing,communications
40,Circuits and signal processing,watermarking
41,Circuits and signal processing,information forensics
42,Communications and control,communications
43,Communications and control,control
44,Communications and control,data mining
45,Communications and control,information
46,Communications and control,statistical analysis
47,Communications and control,human-machine
48,Communications and control,network
49,Communications and control,anomaly detection
50,Communications and control,information theory
51,Communications and control,wireless
52,Communications and control,wireless communications
53,Communications and control,autonomy
54,Communications and control,autonomous
55,Communications and control,sensor
56,Communications and control,intelligent
57,Communications and control,dynamic
58,Communications and control,dynamic system
59,Communications and control,adaptive control
60,Communications and control,identification
61,Communications and control,coding theory
62,Communications and control,communication networks 
63,Communications and control,decentralized
64,Communications and control,distributed
65,Communications and control,discrete-event
66,Communications and control,switched
67,Communications and control,hybrid
68,Communications and control,dynamic games
69,Communications and control,decision theory
70,Communications and control,multi-agent
71,Communications and control,robot
72,Communications and control,networked
73,Communications and control,nonlinear
74,Communications and control,nonlinear system
75,Communications and control,optical communications
76,Communications and control,random processes 
77,Communications and control,robust control 
78,Communications and control,robotics
79,Communications and control,detection
80,Communications and control,estimation
81,Communications and control,stochastic
82,Computing systems hardware and software,computing system
83,Computing systems hardware and software,hardware
84,Computing systems hardware and software,software
85,Computing systems hardware and software,compiler
86,Computing systems hardware and software,computational
87,Computing systems hardware and software,computational complexity
88,Computing systems hardware and software,algorithm
89,Computing systems hardware and software,computer-aided design
90,Computing systems hardware and software,computer architecture
91,Computing systems hardware and software,database
92,Computing systems hardware and software,embedded
93,Computing systems hardware and software,embedded system
94,Computing systems hardware and software,real-time
95,Computing systems hardware and software,hybrid
96,Computing systems hardware and software,harware verification
97,Computing systems hardware and software,hardware testing
98,Computing systems hardware and software,logic design
99,Computing systems hardware and software,VLSI
100,Computing systems hardware and software,operating system
101,Computing systems hardware and software,parallel processing
102,Computing systems hardware and software,parallel programming
103,Computing systems hardware and software,programming technique
104,Computing systems hardware and software,multi-core
105,Computing systems hardware and software,single-ISA
107,Computing systems hardware and software,programming language
108,Computing systems hardware and software,system modeling
109,Computing systems hardware and software,system measurement
110,"Electromagnetics, optics, and remote sensing",electromagnetic
111,"Electromagnetics, optics, and remote sensing",optics
112,"Electromagnetics, optics, and remote sensing",remote sensing
113,"Electromagnetics, optics, and remote sensing",computational electromagnetics
114,"Electromagnetics, optics, and remote sensing",antenna
115,"Electromagnetics, optics, and remote sensing",atmosphere
116,"Electromagnetics, optics, and remote sensing",wireless sensing
117,"Electromagnetics, optics, and remote sensing",atmospheric measurement
118,"Electromagnetics, optics, and remote sensing",ionospheric measurement
119,"Electromagnetics, optics, and remote sensing",atmospheric
120,"Electromagnetics, optics, and remote sensing",atmospheric wave
121,"Electromagnetics, optics, and remote sensing",wave
122,"Electromagnetics, optics, and remote sensing",bioelectromagnetics
123,"Electromagnetics, optics, and remote sensing",coherent imaging
124,"Electromagnetics, optics, and remote sensing",coherent optics
125,"Electromagnetics, optics, and remote sensing",electromagnetic compatibility
126,"Electromagnetics, optics, and remote sensing",electromagnetic theory
127,"Electromagnetics, optics, and remote sensing",electronic packaging
128,"Electromagnetics, optics, and remote sensing",high-frequency circuit
129,"Electromagnetics, optics, and remote sensing",laser
130,"Electromagnetics, optics, and remote sensing",microcavity
131,"Electromagnetics, optics, and remote sensing",nanophotonics
132,"Electromagnetics, optics, and remote sensing",microwave
133,"Electromagnetics, optics, and remote sensing",millimeter wave
134,"Electromagnetics, optics, and remote sensing",laser system
135,"Electromagnetics, optics, and remote sensing",photonic
136,"Electromagnetics, optics, and remote sensing",radar
137,"Electromagnetics, optics, and remote sensing",LIDAR
138,"Electromagnetics, optics, and remote sensing",radar scattering
139,"Electromagnetics, optics, and remote sensing",wave propagation
140,"Electromagnetics, optics, and remote sensing",radio wave
141,"Electromagnetics, optics, and remote sensing",laser spectroscopy
142,"Electromagnetics, optics, and remote sensing",ultraviolet photophysics
143,Microelectronics and photonics,microelectronics
144,Microelectronics and photonics,photonics
145,Microelectronics and photonics,semiconductor
146,Microelectronics and photonics,device physics
147,Microelectronics and photonics,electronic device
148,Microelectronics and photonics,integrated circuit
